Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,misc.artistLink.chronology.kind.trackContribution,track contribution,track contribution,,
FALSE,,misc.artistLink.chronology.kind.wallpaperArt,wallpaper art,wallpaper art,,
FALSE,,misc.chronology.seeArtistPages,(See artist pages for chronology info!),(See artist pages for chronology info!),,
FALSE,,misc.chronology.withNavigation,{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),,
FALSE,,misc.chronology.heading.coverArt,{INDEX} cover art by {ARTIST},{INDEX} cover art by {ARTIST},,
FALSE,,misc.chronology.heading.flash,{INDEX} flash/game by {ARTIST},{INDEX} flash/game by {ARTIST},,
FALSE,,misc.chronology.heading.track,{INDEX} track by {ARTIST},{INDEX} track by {ARTIST},,
FALSE,,misc.chronology.heading.trackArt,{INDEX} track art by {ARTIST},{INDEX} track art by {ARTIST},,
FALSE,,misc.chronology.heading.onlyIndex,Only,Only,,
FALSE,,misc.creditSources,Crediting sources:,Crediting sources:,,
FALSE,,misc.external.external,External,External,,
FALSE,,misc.external.withDomain,{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),,
FALSE,,misc.external.withHandle,{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),,
FALSE,,misc.external.opensInNewTab,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),,
FALSE,,misc.external.opensInNewTab.annotation,opens in new tab,opens in new tab,,
FALSE,,misc.external.invalidURL,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),,
FALSE,,misc.external.invalidURL.annotation,invalid URL,invalid URL,,
FALSE,,misc.external.amazonMusic,Amazon Music,Amazon Music,,
FALSE,,misc.external.appleMusic,Apple Music,Apple Music,,
FALSE,,misc.external.artstation,ArtStation,ArtStation,,
FALSE,,misc.external.bandcamp,Bandcamp,Bandcamp,Bandcamp,
FALSE,,misc.external.bgreco,bgreco.net,bgreco.net,bgreco.net,
FALSE,,misc.external.bgreco.flash,bgreco.net (high quality audio),bgreco.net (high quality audio),bgreco.net（高級オーディオ）,
FALSE,,misc.external.bluesky,Bluesky,Bluesky,,
FALSE,,misc.external.carrd,Carrd,Carrd,,
FALSE,,misc.external.cohost,Cohost,Cohost,,
FALSE,,misc.external.deconreconstruction,Deconreconstruction,Deconreconstruction,Deconreconstruction,
FALSE,,misc.external.deconreconstruction.music,MUSIC@DCRC,MUSIC@DCRC,MUSIC@DCRC,
FALSE,,misc.external.deviantart,DeviantArt,DeviantArt,DeviantArt,
FALSE,,misc.external.facebook,Facebook,Facebook,,
FALSE,,misc.external.fandom,Fandom,Fandom,Fandom,
FALSE,,misc.external.fandom.mspaintadventures,MSPA Wiki,MSPA Wiki,MSPAウィキ,
FALSE,,misc.external.fandom.mspaintadventures.page,MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),MSPAウィキ（{PAGE}）,
FALSE,,misc.external.gamebanana,GameBanana,GameBanana,,
FALSE,,misc.external.homestuck,Homestuck,Homestuck,Homestuck,
FALSE,,misc.external.homestuck.page,Homestuck (page {PAGE}),Homestuck (page {PAGE}),Homestuck（{PAGE}ページ）,
FALSE,,misc.external.homestuck.secretPage,Homestuck (secret page),Homestuck (secret page),Homestuck（隠れページ）,
FALSE,,misc.external.hsmusic,HSMusic,HSMusic,,
FALSE,,misc.external.hsmusic.archive,HSMusic (wiki archive),HSMusic (wiki archive),,
FALSE,,misc.external.instagram,Instagram,Instagram,Instagram,
FALSE,,misc.external.internetArchive,Internet Archive,Internet Archive,,
FALSE,,misc.external.itch,itch.io,itch.io,,
FALSE,,misc.external.kofi,Ko-fi,Ko-fi,,
FALSE,,misc.external.linktree,Linktree,Linktree,,
FALSE,,misc.external.mastodon,Mastodon,Mastodon,Mastodon,
FALSE,,misc.external.mspfa,MSPFA,MSPFA,,
FALSE,,misc.external.neocities,Neocities,Neocities,,
FALSE,,misc.external.newgrounds,Newgrounds,Newgrounds,Newgrounds,
FALSE,,misc.external.patreon,Patreon,Patreon,Patreon,
FALSE,,misc.external.poetryFoundation,Poetry Foundation,Poetry Foundation,Poetry Foundation,
FALSE,,misc.external.soundcloud,SoundCloud,SoundCloud,SoundCloud,
FALSE,,misc.external.spotify,Spotify,Spotify,Spotify,
FALSE,,misc.external.steam,Steam,Steam,,
FALSE,,misc.external.tiktok,TikTok,TikTok,,
FALSE,,misc.external.toyhouse,Toyhouse,Toyhouse,,
FALSE,,misc.external.tumblr,Tumblr,Tumblr,Tumblr,
FALSE,,misc.external.twitch,Twitch,Twitch,,
FALSE,,misc.external.twitter,Twitter,Twitter,Twitter,
FALSE,,misc.external.waybackMachine,Wayback Machine,Wayback Machine,,
FALSE,,misc.external.wikipedia,Wikipedia,Wikipedia,Wikipedia,
FALSE,,misc.external.youtube,YouTube,YouTube,YouTube,
FALSE,,misc.external.youtube.flash,YouTube (on any device),YouTube (on any device),,
FALSE,,misc.external.youtube.playlist,YouTube (playlist),YouTube (playlist),,
FALSE,,misc.external.youtube.fullAlbum,YouTube (full album),YouTube (full album),,
FALSE,,misc.missingImage,(This image file is missing),(This image file is missing),（画面ファイル欠測）,
FALSE,,misc.missingLinkContent,(Missing link content),(Missing link content),（リンク内容欠測）,
FALSE,,misc.navAccent,({LINKS}),({LINKS}),,
FALSE,,misc.quickDescription.readMore,Read more on {LINKS}.,Read more on {LINKS}.,,
FALSE,,misc.quickDescription.moreInfo,({LINK}),({LINK}),,
FALSE,,misc.quickDescription.moreInfo.link,More info...,More info...,,
FALSE,,misc.quickDescription.expandDescription,({EXPAND}),({EXPAND}),,
FALSE,,misc.quickDescription.expandDescription.expand,Expand description...,Expand description...,,
FALSE,,misc.quickDescription.expandDescription.orReadMore,"({EXPAND}, or read more on {LINKS})","({EXPAND}, or read more on {LINKS})",,
FALSE,,misc.quickDescription.expandDescription.orReadMore.expand,Expand description,Expand description,,
FALSE,,misc.quickDescription.collapseDescription,({COLLAPSE}),({COLLAPSE}),,
FALSE,,misc.quickDescription.collapseDescription.collapse,Collapse description,Collapse description,,
FALSE,,misc.quickDescription.collapseDescription.orReadMore,"({COLLAPSE}, or read more on {LINKS})","({COLLAPSE}, or read more on {LINKS})",,
FALSE,,misc.quickDescription.collapseDescription.orReadMore.collapse,Collapse description,Collapse description,,
FALSE,,misc.nav.previous,Previous,Previous,戻る,
FALSE,,misc.nav.next,Next,Next,次へ,
FALSE,,misc.nav.info,Info,Info,,
