Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,"Niklink, Cello",releaseInfo.viewCommentary.link,commentary page,commentary page,página de comentario,
FALSE,Cello,releaseInfo.viewGallery,View {LINK}!,View {LINK}!,¡Véase {LINK}!,
FALSE,Cello,releaseInfo.viewGallery.link,gallery page,gallery page,pagina de galeria,
FALSE,Cello,releaseInfo.viewGalleryOrCommentary,View {GALLERY} or {COMMENTARY}!,View {GALLERY} or {COMMENTARY}!,¡Véase {GALLERY} o {COMMENTARY}!,
FALSE,Cello,releaseInfo.viewGalleryOrCommentary.gallery,gallery page,gallery page,pagina de galeria,
FALSE,Cello,releaseInfo.viewGalleryOrCommentary.commentary,commentary page,commentary page,pagina de comentario,
FALSE,Cello,releaseInfo.viewOriginalFile,View {LINK}.,View {LINK}.,Vea {LINK}.,
FALSE,Cello,releaseInfo.viewOriginalFile.withSize,View {LINK} ({SIZE}).,View {LINK} ({SIZE}).,Vea {LINK} ({SIZE}).,
FALSE,Cello,releaseInfo.viewOriginalFile.link,original file,original file,archivo original,
FALSE,Cello,releaseInfo.viewOriginalFile.sizeWarning,"(Heads up! If you're on a mobile plan, this is a large download.)","(Heads up! If you're on a mobile plan, this is a large download.)","(¡Cuidado! Si estas en móvil, esta es una descarga grande.)",
TRUE,"Niklink, Cello",releaseInfo.listenOn,Listen on {LINKS}.,Listen on {LINKS}.,Escucha en {LINKS}.,
FALSE,Cello,releaseInfo.listenOn.noLinks,This wiki doesn't have any listening links for {NAME}.,This wiki doesn't have any listening links for {NAME}.,La wikia no tiene links para escuchar {NAME}.,
TRUE,"Niklink, Cello",releaseInfo.visitOn,Visit on {LINKS}.,Visit on {LINKS}.,Visita en {LINKS}.,
TRUE,"Niklink, Cello",releaseInfo.playOn,Play on {LINKS}.,Play on {LINKS}.,Ver en {LINKS}.,
FALSE,Cello,releaseInfo.readCommentary,Read {LINK}.,Read {LINK}.,Lea en {LINK}.,
FALSE,Cello,releaseInfo.readCommentary.link,artist commentary,artist commentary,comentario de artista,
FALSE,Cello,releaseInfo.readCreditSources,Read {LINK}.,Read {LINK}.,Lea en {LINK}.,
FALSE,Cello,releaseInfo.readCreditSources.link,crediting sources,crediting sources,fuentes de créditos,
FALSE,Cello,releaseInfo.additionalFiles.heading,View or download additional files:,View or download additional files:,Véase o descarge archivos adicionales:,
TRUE,"Cello, Niklink",releaseInfo.additionalFiles.entry,{TITLE},{TITLE},{TITLE},
FALSE,Cello,releaseInfo.additionalFiles.entry.noFilesAvailable,There are no files available or listed for this entry.,There are no files available or listed for this entry.,No hay archivos disponibles o listados para esta entrada.,
TRUE,"Cello, Niklink",releaseInfo.additionalFiles.file,{FILE},{FILE},{FILE},
TRUE,"Cello, Niklink",releaseInfo.additionalFiles.file.withSize,{FILE} ({SIZE}),{FILE} ({SIZE}),{FILE} ({SIZE}),
FALSE,Cello,releaseInfo.additionalFiles.shortcut,View {LINK}.,View {LINK}.,Véase {LINK}.,
FALSE,Cello,releaseInfo.additionalFiles.shortcut.link,additional files,additional files,archivos adicionales,
FALSE,Cello,releaseInfo.sheetMusicFiles.heading,Print or download sheet music files:,Print or download sheet music files:,Imprimir o descargar partituras:,
FALSE,Cello,releaseInfo.sheetMusicFiles.shortcut,Download {LINK}.,Download {LINK}.,Descargar {LINK}.,
FALSE,Cello,releaseInfo.sheetMusicFiles.shortcut.link,sheet music files,sheet music files,partituras,
FALSE,Cello,releaseInfo.midiProjectFiles.heading,Download MIDI/project files:,Download MIDI/project files:,Descargar MIDI/archivos de proyecto:,
FALSE,Cello,releaseInfo.midiProjectFiles.shortcut,Download {LINK}.,Download {LINK}.,Descargar {LINK}.,
FALSE,Cello,releaseInfo.midiProjectFiles.shortcut.link,MIDI/project files,MIDI/project files,MIDI/archivos de proyecto,
TRUE,Cello,trackList.section,{SECTION}:,{SECTION}:,{SECTION}:,
TRUE,"Lanolin, Cello",trackList.section.withDuration,{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),
TRUE,Cello,trackList.section.sticky,{SECTION}:,{SECTION}:,{SECTION}:,
FALSE,Cello,trackList.fromGroup,From {GROUP}:,From {GROUP}:,De {GROUP}:,
FALSE,Cello,trackList.fromOther,From somewhere else:,From somewhere else:,De alguna parte:,
TRUE,Cello,trackList.item,{TRACK},{TRACK},{TRACK},
TRUE,Lanolin. Cello,trackList.item.withDuration,{DURATION} {TRACK},{DURATION} {TRACK},{DURATION} {TRACK},
TRUE,Cello,trackList.item.withDuration.duration,({DURATION}),({DURATION}),({DURATION}),
TRUE,Cello,trackList.item.withDuration.duration.missing,_:__,_:__,_:__,
FALSE,Cello,trackList.item.withDuration.duration.missing.info,no duration provided; treated as zero seconds long,no duration provided; treated as zero seconds long,ninguna duración presentada: tratado con duración de cero segundos,
TRUE,"Niklink, Cello",trackList.item.withArtists,{TRACK} {BY},{TRACK} {BY},{TRACK} {BY},
TRUE,"Niklink, Cello",trackList.item.withArtists.by,by {ARTISTS},by {ARTISTS},por {ARTISTS},
FALSE,Cello,trackList.item.withArtists.featuring,feat. {ARTISTS},feat. {ARTISTS},colaborando con {ARTISTS},see releaseInfo.by.featuring -whis
FALSE,Cello,trackList.item.withArtists.by.featuring,by {ARTISTS} feat. {FEATURING},by {ARTISTS} feat. {FEATURING},por {ARTISTS} colaborando con {FEATURING},see releaseInfo.by.featuring -whis
TRUE,"Lanolin, Cello",trackList.item.withDuration.withArtists,{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},
TRUE,"Niklink, Cello",trackList.item.rerelease,{TRACK} (rerelease),{TRACK} (rerelease),{TRACK} (relanzamiento),
FALSE,Cello,misc.additionalNames.title,Additional or alternate names:,Additional or alternate names:,Nombres adicionales o alternativos:,
FALSE,Cello,misc.additionalNames.tooltip,Click to view additional or alternate names,Click to view additional or alternate names,Clic para ver nombres adicionales o alternativos,
TRUE,Cello,misc.additionalNames.item,{NAME},{NAME},{NAME},
