Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,misc.artistLink.chronology.kind.trackContribution,track contribution,track contribution,,
FALSE,,misc.artistLink.chronology.kind.wallpaperArt,wallpaper art,wallpaper art,,
FALSE,,misc.chronology.seeArtistPages,(See artist pages for chronology info!),(See artist pages for chronology info!),,
FALSE,,misc.chronology.withNavigation,{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),,
FALSE,,misc.chronology.heading.coverArt,{INDEX} cover art by {ARTIST},{INDEX} cover art by {ARTIST},,
FALSE,,misc.chronology.heading.flash,{INDEX} flash/game by {ARTIST},{INDEX} flash/game by {ARTIST},,
FALSE,,misc.chronology.heading.track,{INDEX} track by {ARTIST},{INDEX} track by {ARTIST},,
FALSE,,misc.chronology.heading.trackArt,{INDEX} track art by {ARTIST},{INDEX} track art by {ARTIST},,
FALSE,,misc.chronology.heading.onlyIndex,Only,Only,,
FALSE,,misc.creditSources,Crediting sources:,Crediting sources:,,
FALSE,,misc.external.external,External,External,,
FALSE,,misc.external.withDomain,{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),,
FALSE,,misc.external.withHandle,{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),,
FALSE,,misc.external.opensInNewTab,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),,
FALSE,,misc.external.opensInNewTab.annotation,opens in new tab,opens in new tab,,
FALSE,,misc.external.invalidURL,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),,
FALSE,,misc.external.invalidURL.annotation,invalid URL,invalid URL,,
FALSE,ruby,misc.external.amazonMusic,Amazon Music,Amazon Music,Amazon Music,
FALSE,ruby,misc.external.appleMusic,Apple Music,Apple Music,Apple Music,
FALSE,ruby,misc.external.artstation,ArtStation,ArtStation,ArtStation,
FALSE,ruby,misc.external.bandcamp,Bandcamp,Bandcamp,Bandcamp,
FALSE,ruby,misc.external.bgreco,bgreco.net,bgreco.net,bgreco.net,
FALSE,ruby,misc.external.bgreco.flash,bgreco.net (high quality audio),bgreco.net (high quality audio),bgreco.net (hoge kwaliteit audio),
FALSE,ruby,misc.external.bluesky,Bluesky,Bluesky,Bluesky,
FALSE,ruby,misc.external.carrd,Carrd,Carrd,Carrd,
FALSE,ruby,misc.external.cohost,Cohost,Cohost,Cohost,
FALSE,ruby,misc.external.deconreconstruction,Deconreconstruction,Deconreconstruction,Deconreconstruction,
FALSE,ruby,misc.external.deconreconstruction.music,MUSIC@DCRC,MUSIC@DCRC,MUSIC@DCRC,
FALSE,ruby,misc.external.deviantart,DeviantArt,DeviantArt,DeviantArt,
FALSE,ruby,misc.external.facebook,Facebook,Facebook,Facebook,
FALSE,ruby,misc.external.fandom,Fandom,Fandom,Fandom,
FALSE,ruby,misc.external.fandom.mspaintadventures,MSPA Wiki,MSPA Wiki,MSPA Wiki,
FALSE,ruby,misc.external.fandom.mspaintadventures.page,MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),
FALSE,ruby,misc.external.gamebanana,GameBanana,GameBanana,GameBanana,
FALSE,ruby,misc.external.homestuck,Homestuck,Homestuck,Homestuck,
FALSE,ruby,misc.external.homestuck.page,Homestuck (page {PAGE}),Homestuck (page {PAGE}),Homestuck (pagina {PAGE}),
